customer_id,total_revenue,total_orders,total_profit,customer_name,Segment,CLV_realized,expected_lifespan,CLV_projected
1,168118.37,5,23612.7,Cust1,Hibernating,23612.7,1,23612.7
2,50671.87,8,9706.28,Cust2,Hibernating,9706.28,1,9706.28
3,175933.28,10,30855.61,Cust3,At Risk,30855.61,2,61711.22
4,20168.3,4,2915.34,Cust4,Lost / Churn,2915.34,0,0.0
5,153653.67,7,21272.87,Cust5,Loyal Customers,21272.87,4,85091.48
6,151991.67,6,20665.88,Cust6,Hibernating,20665.88,1,20665.88
7,317696.15,11,69486.84,Cust7,Champions,69486.84,5,347434.2
8,213163.44,7,40944.42,Cust8,Loyal Customers,40944.42,4,163777.68
9,290634.66,8,50742.6,Cust9,Potential Loyalists,50742.6,3,152227.8
11,173883.46,6,29681.22,Cust11,At Risk,29681.22,2,59362.44
12,105915.05,9,19614.02,Cust12,Loyal Customers,19614.02,4,78456.08
13,181043.19,8,17391.94,Cust13,At Risk,17391.94,2,34783.88
14,295604.3,13,46364.38,Cust14,Champions,46364.38,5,231821.9
15,99734.46,7,17116.97,Cust15,Hibernating,17116.97,1,17116.97
16,219820.2,5,35362.24,Cust16,At Risk,35362.24,2,70724.48
17,177809.01,7,22167.03,Cust17,Hibernating,22167.03,1,22167.03
18,115893.39,7,23817.15,Cust18,At Risk,23817.15,2,47634.3
19,137022.43,5,39237.33,Cust19,Hibernating,39237.33,1,39237.33
20,178043.35,7,31188.84,Cust20,At Risk,31188.84,2,62377.68
21,167140.37,11,32779.69,Cust21,Potential Loyalists,32779.69,3,98339.07
22,88221.57,9,13555.3,Cust22,Loyal Customers,13555.3,4,54221.2
23,151793.79,8,21082.92,Cust23,Loyal Customers,21082.92,4,84331.68
24,216342.55,8,36997.32,Cust24,At Risk,36997.32,2,73994.64
25,98172.0,5,15783.31,Cust25,Hibernating,15783.31,1,15783.31
26,106366.51,8,20356.79,Cust26,At Risk,20356.79,2,40713.58
27,150361.14,10,32120.6,Cust27,Loyal Customers,32120.6,4,128482.4
