product_id,product_code,product_name,category,sub_category,cost_price,selling_price
1,PROD00001,Electronics Mobiles 1,Electronics,Mobiles,80097.0,95952.74
2,PROD00002,Furniture Storage 2,Furniture,Storage,5358.0,7344.1
3,PROD00003,Electronics Accessories 3,Electronics,Accessories,16331.0,18158.75
4,PROD00004,Furniture Chairs 4,Furniture,Chairs,18559.0,24884.05
5,PROD00005,Furniture Storage 5,Furniture,Storage,23295.0,32159.45
6,PROD00006,Home & Kitchen Cookware 6,Home & Kitchen,Cookware,3979.0,5314.78
7,PROD00007,Electronics Laptops 7,Electronics,Laptops,118785.0,146830.16
8,PROD00008,Furniture Chairs 8,Furniture,Chairs,13029.0,14864.58
9,PROD00009,Home & Kitchen Cookware 9,Home & Kitchen,Cookware,3240.0,4662.35
10,PROD00010,Clothing T-Shirts 10,Clothing,T-Shirts,2081.0,2735.46
11,PROD00011,Home & Kitchen Cookware 11,Home & Kitchen,Cookware,4822.0,5869.68
12,PROD00012,Clothing Jackets 12,Clothing,Jackets,987.0,1363.86
13,PROD00013,Electronics Laptops 13,Electronics,Laptops,83861.0,125295.76
14,PROD00014,Furniture Chairs 14,Furniture,Chairs,14455.0,17507.74
15,PROD00015,Clothing T-Shirts 15,Clothing,T-Shirts,1716.0,2131.46
16,PROD00016,Clothing Jackets 16,Clothing,Jackets,2999.0,4076.28
17,PROD00017,Furniture Storage 17,Furniture,Storage,10021.0,11678.08
18,PROD00018,Home & Kitchen Decor 18,Home & Kitchen,Decor,7880.0,10685.28
19,PROD00019,Furniture Storage 19,Furniture,Storage,12626.0,18145.34
20,PROD00020,Electronics Laptops 20,Electronics,Laptops,16414.0,23341.01
21,PROD00021,Home & Kitchen Decor 21,Home & Kitchen,Decor,842.0,997.26
22,PROD00022,Clothing T-Shirts 22,Clothing,T-Shirts,2884.0,3748.31
23,PROD00023,Home & Kitchen Cookware 23,Home & Kitchen,Cookware,2469.0,2853.8
24,PROD00024,Clothing Jackets 24,Clothing,Jackets,2594.0,3297.94
25,PROD00025,Home & Kitchen Decor 25,Home & Kitchen,Decor,2096.0,3141.76
26,PROD00026,Furniture Storage 26,Furniture,Storage,18171.0,20648.87
27,PROD00027,Electronics Mobiles 27,Electronics,Mobiles,48066.0,64936.13
28,PROD00028,Home & Kitchen Appliances 28,Home & Kitchen,Appliances,820.0,1028.2
29,PROD00029,Home & Kitchen Appliances 29,Home & Kitchen,Appliances,2359.0,3511.21
30,PROD00030,Electronics Mobiles 30,Electronics,Mobiles,148763.0,208320.43
31,PROD00031,Clothing T-Shirts 31,Clothing,T-Shirts,1402.0,1786.02
32,PROD00032,Home & Kitchen Cookware 32,Home & Kitchen,Cookware,6215.0,9013.87
33,PROD00033,Clothing Jackets 33,Clothing,Jackets,931.0,1213.16
34,PROD00034,Electronics Audio 34,Electronics,Audio,141080.0,189553.41
35,PROD00035,Furniture Tables 35,Furniture,Tables,7293.0,9595.78
36,PROD00036,Electronics Audio 36,Electronics,Audio,136085.0,150753.7
37,PROD00037,Clothing Jeans 37,Clothing,Jeans,1180.0,1325.34
38,PROD00038,Electronics Mobiles 38,Electronics,Mobiles,135399.0,193134.39
