customer_id,last_order_date,total_orders,total_revenue,recency_days,R_Score,F_Score,M_Score,RFM_Score,Segment
4600,2024-10-21 23:31:00,15,624947.83,71,4,5,5,14,Champions
4671,2024-12-28 15:26:00,15,615682.02,3,5,5,5,15,Champions
4294,2024-08-29 07:23:00,15,575805.1,124,3,5,5,13,Champions
5642,2024-12-13 11:20:00,14,569428.3,18,5,5,5,15,Champions
6439,2024-12-04 02:27:00,15,560529.62,27,5,5,5,15,Champions
84,2024-11-24 06:05:00,14,558088.67,37,4,5,5,14,Champions
2495,2024-06-20 17:14:00,16,545075.79,194,2,5,5,12,Potential Loyalists
2430,2024-08-27 23:27:00,13,532223.75,126,3,5,5,13,Champions
2308,2024-08-04 08:05:00,13,527218.44,149,2,5,5,12,Potential Loyalists
672,2024-12-13 04:47:00,15,525032.1799999999,18,5,5,5,15,Champions
3796,2024-11-06 08:41:00,13,523979.07,55,4,5,5,14,Champions
5573,2024-11-10 17:26:00,11,521789.89,51,4,5,5,14,Champions
6185,2024-11-02 14:29:00,13,517233.92000000004,59,4,5,5,14,Champions
4036,2024-12-14 12:57:00,12,515228.51,17,5,5,5,15,Champions
2989,2024-11-27 04:47:00,15,514293.89,34,4,5,5,14,Champions
7394,2024-11-19 14:48:00,10,505378.68,42,4,4,5,13,Champions
5576,2024-12-05 05:21:00,10,500442.52,26,5,4,5,14,Champions
165,2024-12-24 21:05:00,10,495499.58,7,5,4,5,14,Champions
681,2024-11-24 17:53:00,12,494091.92,37,4,5,5,14,Champions
5044,2024-11-11 20:12:00,15,492652.67,50,4,5,5,14,Champions
864,2024-12-01 14:03:00,13,490226.05,30,5,5,5,15,Champions
2924,2024-08-23 07:34:00,10,488979.91,130,3,4,5,12,Potential Loyalists
2442,2024-12-17 21:37:00,16,485251.88,14,5,5,5,15,Champions
1609,2024-12-19 19:14:00,16,479234.95,12,5,5,5,15,Champions
4510,2024-11-07 14:13:00,12,478274.08,54,4,5,5,14,Champions
85,2024-11-06 05:34:00,11,477825.77,55,4,5,5,14,Champions
849,2024-12-12 07:00:00,15,476931.37,19,5,5,5,15,Champions
4724,2024-05-12 23:53:00,14,476618.67,232,2,5,5,12,Potential Loyalists
2717,2024-11-04 08:45:00,11,475485.23,57,4,5,5,14,Champions
2435,2024-06-24 01:09:00,9,472875.57,190,2,4,5,11,Potential Loyalists
2643,2024-12-30 19:15:00,12,469809.2,1,5,5,5,15,Champions
140,2024-08-05 03:43:00,15,468109.23000000004,148,2,5,5,12,Potential Loyalists
5437,2024-11-30 21:41:00,8,466386.54,31,5,3,5,13,Champions
7559,2024-10-09 09:06:00,13,465983.52999999997,83,3,5,5,13,Champions
328,2024-12-22 01:31:00,14,465690.38,9,5,5,5,15,Champions
7879,2024-12-01 04:13:00,13,465104.84,30,5,5,5,15,Champions
3251,2024-10-04 08:06:00,14,463445.73,88,3,5,5,13,Champions
147,2024-11-26 04:34:00,14,461977.76,35,4,5,5,14,Champions
7178,2024-12-20 12:16:00,12,461219.91,11,5,5,5,15,Champions
7325,2024-08-01 05:17:00,12,460838.02,152,2,5,5,12,Potential Loyalists
3219,2024-10-13 10:35:00,10,457960.98,79,3,4,5,12,Potential Loyalists
1061,2024-12-01 10:58:00,8,456287.21,30,5,3,5,13,Champions
7866,2024-08-01 05:43:00,12,455629.08999999997,152,2,5,5,12,Potential Loyalists
2756,2024-12-11 14:41:00,13,454032.38,20,5,5,5,15,Champions
5220,2024-10-09 15:40:00,14,452871.61,83,3,5,5,13,Champions
7884,2024-07-10 22:57:00,12,451883.35,174,2,5,5,12,Potential Loyalists
4070,2024-11-10 19:43:00,12,449317.27999999997,51,4,5,5,14,Champions
4908,2024-12-04 15:25:00,10,448646.15,27,5,4,5,14,Champions
6864,2024-08-07 20:30:00,16,447450.6,146,2,5,5,12,Potential Loyalists
6550,2024-11-21 14:05:00,12,447039.24,40,4,5,5,14,Champions
764,2024-10-18 07:20:00,14,447036.98,74,4,5,5,14,Champions
4018,2024-12-28 11:44:00,14,446773.79,3,5,5,5,15,Champions
430,2024-12-13 19:37:00,12,444254.0,18,5,5,5,15,Champions
7289,2023-11-23 14:01:00,13,444029.87,404,1,5,5,11,Potential Loyalists
1244,2024-11-19 10:23:00,14,443421.96,42,4,5,5,14,Champions
4068,2024-12-02 16:35:00,9,442551.67000000004,29,5,4,5,14,Champions
4209,2024-12-14 13:54:00,9,442124.14,17,5,4,5,14,Champions
2790,2024-11-01 05:37:00,16,439516.31,60,4,5,5,14,Champions
2040,2024-12-19 02:21:00,9,439446.7,12,5,4,5,14,Champions
2508,2024-10-22 15:51:00,11,438268.83,70,4,5,5,14,Champions
1784,2024-07-03 01:16:00,13,437701.22000000003,181,2,5,5,12,Potential Loyalists
3567,2024-07-12 03:41:00,12,437581.4,172,2,5,5,12,Potential Loyalists
2271,2024-10-10 13:52:00,9,434991.41000000003,82,3,4,5,12,Potential Loyalists
2254,2024-09-18 13:59:00,16,434105.83,104,3,5,5,13,Champions
5996,2024-11-06 00:38:00,15,433666.87,55,4,5,5,14,Champions
5704,2024-07-07 19:12:00,12,433533.02,177,2,5,5,12,Potential Loyalists
2005,2024-06-16 17:13:00,12,432714.5,198,2,5,5,12,Potential Loyalists
4421,2024-11-19 08:36:00,15,432576.85000000003,42,4,5,5,14,Champions
6305,2024-11-28 08:54:00,10,432477.5,33,4,4,5,13,Champions
4007,2024-12-02 04:25:00,11,432284.66000000003,29,5,5,5,15,Champions
